species,iucn_categoria
Nothoprocta ornata,LC
Elaenia albiceps,LC
Coryphospingus cucullatus,LC
Nothura darwinii,LC
Myiodynastes maculatus,LC
Phyllomyias uropygialis,
Nyctibius griseus,LC
Turdus amaurochalinus,LC
Cyanocorax cyanomelas,LC
Turdus serranus,LC
Turdus hauxwelli,LC
Coeligena violifer,LC
Pyrrhomyias cinnamomeus,LC
Pheucticus aureoventris,LC
Diglossa brunneiventris,LC
Cyclarhis gujanensis,LC
Zonotrichia capensis,LC
Synallaxis azarae,LC
Glaucidium bolivianum,LC
Adelomyia melanogenys,LC
Catharus ustulatus,LC
Colibri coruscans,LC
Myiophobus fasciatus,LC
Lepidocolaptes affinis,LC
Casiornis rufus,LC
Taraba major,LC
Phacellodomus rufifrons,LC
Brotogeris versicolurus,LC
Heliangelus amethysticollis,LC
Mionectes macconnelli,LC
Aulacorhynchus coeruleicinctis,LC
Tyrannus melancholicus,LC
Campephilus leucopogon,LC
Knipolegus aterrimus,LC
Myiarchus swainsoni,LC
Ochthoeca pulchella,
Chlorospingus flavopectus,LC
Paroaria capitata,LC
Myadestes ralloides,LC
Elaenia spectabilis,LC
Myiothlypis coronata,LC
Mecocerculus hellmayri,LC
Myiothlypis signata,LC
Myiopagis viridicata,LC
Cinnycerthia peruana,LC
Glaucidium brasilianum,LC
Myioborus brunniceps,LC
Thlypopsis ruficeps,LC
Elaenia parvirostris,LC
Diglossa caerulescens,LC
Mecocerculus leucophrys,LC
Galbula ruficauda,LC
Thamnophilus ruficapillus,LC
Mionectes striaticollis,LC
Lepidocolaptes angustirostris,LC
Colibri thalassinus,LC
Myiarchus tuberculifer,LC
Knipolegus signatus,LC
Microspingus melanoleucus,LC
Pseudoseisura lophotes,LC
Grallaricula flavirostris,LC
Leptotila verreauxi,LC
Pyrrhura molinae,LC
Pipraeidea melanonota,LC
Atlapetes melanolaemus,LC
Rupornis magnirostris,LC
Nystalus maculatus,LC
Myioborus melanocephalus,LC
Sporathraupis cyanocephala,LC
Turdus albicollis,LC
Chiroxiphia boliviana,LC
Progne tapera,LC
Campylorhynchus turdinus,LC
Turdus leucops,LC
Chloroceryle amazona,LC
Chionomesa fimbriata,
Chloroceryle americana,LC
Euphonia xanthogaster,LC
Diglossa cyanea,LC
Chloroceryle inda,LC
Pachyramphus polychopterus,LC
Catamblyrhynchus diadema,LC
Basileuterus tristriatus,LC
Cnemotriccus fuscatus,LC
Polioptila dumicola,LC
Pitangus lictor,
Arremon torquatus,LC
Hemitriccus margaritaceiventer,LC
Ammodramus humeralis,LC
Piaya cayana,LC
Leptopogon amaurocephalus,LC
Coeligena coeligena,LC
Geothlypis aequinoctialis,LC
Camptostoma obsoletum,LC
Dysithamnus mentalis,LC
Thraupis sayaca,
