species,iucn_categoria
Noctilio leporinus,LC
Lycalopex culpaeus,LC
Phyllostomus hastatus,LC
Diphylla ecaudata,LC
Noctilio albiventris,LC
Mesophylla macconnelli,LC
Aotus azarae,LC
Alouatta sara,NT
Sapajus apella,LC
Plecturocebus donacophilus,LC
Myrmecophaga tridactyla,VU
Tapirus terrestris,VU
Mico melanurus,NT
Molossus molossus,LC
Carollia perspicillata,LC
Saccopteryx bilineata,LC
Eumops perotis,LC
Rhynchonycteris naso,LC
Vicugna vicugna,LC
Graomys griseoflavus,LC
Bradypus variegatus,LC
Colobus vellerosus,CR
Lagidium viscacia,LC
Hydrochoerus hydrochaeris,LC
Pecari tajacu,LC
Saimiri boliviensis,LC
Microcavia niata,LC
Proechimys longicaudatus,LC
Sciurus ignitus,LC
Galea musteloides,DD
Cavia tschudii,LC
Cerdocyon thous,LC
Cebus imitator,VU
Panthera onca,NT
Proechimys gardneri,DD
Alouatta caraya,NT
Sciurus spadiceus,LC
Sylvilagus brasiliensis,
Thrichomys pachyurus,LC
Plecturocebus cinerascens,LC
Mesomys hispidus,LC
Bubalus bubalis,
Aotus nigriceps,LC
Proechimys brevicauda,LC
Lama glama,
Equus asinus,
Isothrix bistriata,LC
Proechimys simonsi,LC
Tadarida brasiliensis,LC
Oryctolagus cuniculus,
Ateles chamek,
Lontra longicaudis,NT
Dasyprocta variegata,DD
Eira barbara,LC
Plecturocebus aureipalatii,LC
Coendou bicolor,LC
Marmosa murina,LC
Dasypus novemcinctus,LC
Priodontes maximus,VU
Chrysocyon brachyurus,NT
Puma concolor,LC
Tamandua tetradactyla,LC
Blastocerus dichotomus,VU
Tayassu pecari,VU
Euphractus sexcinctus,LC
Ozotoceros bezoarticus,NT
Oligoryzomys microtis,LC
Vicugna pacos,
Mazama americana,DD
Puma yagouaroundi,
Leopardus geoffroyi,LC
Leontocebus weddelli,LC
Lycalopex gymnocercus,LC
Sturnira lilium,LC
Dolichotis salinicola,LC
Cuniculus paca,LC
Conepatus chinga,LC
Histiotus macrotus,LC
Lepus europaeus,LC
Capra hircus,
Hippocamelus antisensis,VU
Mus musculus,LC
Inia geoffrensis,
Myotis riparius,LC
Myotis albescens,LC
Nasua nasua,LC
Pithecia irrorata,DD
Bos taurus,
Ovis aries,
Felis catus,
Equus caballus,
Canis lupus,LC
Pteronura brasiliensis,
Coendou longicaudatus,
Leopardus pardalis,LC
Eligmodontia hirtipes,
Ctenomys opimus,LC
Akodon mimus,LC
Neacomys spinosus,LC
Marmosops dorothea,
Cavia porcellus,
Hylaeamys yunganus,LC
Akodon albiventer,LC
Metachirus nudicaudatus,LC
Didelphis marsupialis,LC
Sturnira oporaphilum,LC
Akodon boliviensis,LC
Akodon aerosus,LC
Abrothrix andinus,
Calomys callosus,LC
Phyllotis xanthopygus,LC
Necromys lasiurus,LC
Nephelomys levipes,LC
Oligoryzomys destructor,LC
Marmosops noctivagus,LC
Myotis nigricans,LC
Eptesicus andinus,LC
Oecomys mamorae,LC
Akodon dayi,LC
Necromys lenguarum,LC
Oxymycterus inca,LC
Hylaeamys perenensis,LC
Euryoryzomys nitidus,LC
Oecomys bicolor,LC
Artibeus planirostris,LC
Artibeus concolor,LC
Platyrrhinus helleri,LC
Holochilus sciureus,LC
Euryoryzomys macconnelli,LC
Uroderma bilobatum,LC
Carollia brevicaudum,
Cerradomys subflavus,LC
Glossophaga soricina,LC
Artibeus lituratus,LC
Oligoryzomys chacoensis,LC
Carollia castanea,LC
Hylaeamys megacephalus,LC
Plecturocebus modestus,
Tolypeutes matacus,NT
Sapajus libidinosus,NT
Hydrochoeris hydrochaeris,
Mazama gouazoubira,LC
Sapajus cay,VU
Neotomys ebriosus,LC
Choloepus didactylus,LC
Dasyprocta fuliginosa,LC
Dasyprocta punctata,LC
Plecturocebus pallescens,LC
Catagonus wagneri,
Plecturocebus olallae,CR
Procyon cancrivorus,LC
Microsciurus flaviventer,LC
Potos flavus,LC
Tremarctos ornatus,VU
Chaetophractus vellerosus,LC
Callimico goeldii,VU
Saguinus labiatus,LC
Choloepus hoffmanni,LC
Dasyprocta azarae,DD
Myotis oxyotus,LC
Cavia aperea,LC
Platyrrhinus lineatus,LC
Desmodus rotundus,LC
Abrothrix jelskii,LC
Plecturocebus toppini,LC
Speothos venaticus,NT
Cyclopes didactylus,LC
Leopardus wiedii,NT
Didelphis pernigra,LC
Didelphis albiventris,LC
Histiotus montanus,LC
Cuniculus taczanowskii,NT
Calyptophractus retusus,DD
Bassaricyon alleni,LC
Atelocynus microtis,NT
Cryptonanus chacoensis,LC
Dasypus septemcinctus,LC
Dasypterus ega,
Monodelphis domestica,LC
Caluromys lanatus,LC
Cyclopes catellus,
Thylamys venustus,DD
Leontocebus fuscicollis,LC
Galictis vittata,LC
Calomys lepidus,LC
Cebus unicolor,VU
Natalus macrourus,
Trachops cirrhosus,LC
Gracilinanus agilis,LC
Cyclopes rufus,
Rattus rattus,LC
Leopardus braccatus,
Artibeus obscurus,LC
Chironectes minimus,LC
Macrophyllum macrophyllum,LC
Micronycteris yatesi,DD
Galictis cuja,LC
Chrotopterus auritus,LC
Tonatia bidens,DD
Pteronotus parnellii,LC
Cerradomys scotti,LC
Juscelinomys huanchacae,DD
Artibeus jamaicensis,LC
Hsunycteris thomasi,
Kunsia tomentosus,LC
Oecomys trinitatis,LC
Thyroptera tricolor,LC
Myotis midastactus,
Sphaeronycteris toxophyllum,LC
Hylaeamys acritus,DD
Oecomys roberti,LC
Chiroderma trinitatum,LC
Lophostoma silvicola,
Platyrrhinus incarum,LC
Lonchophylla dekeyseri,
Uroderma magnirostrum,LC
Artibeus gnomus,
Micoureus demerarae,
Molossus rufus,LC
Cerradomys maracajuensis,LC
Artibeus glaucus,
Cryptonanus unduaviensis,DD
Micronycteris megalotis,LC
Chiroderma doriae,LC
Marmosops ocellatus,LC
Myotis simus,DD
Phyllostomus elongatus,LC
Vampyriscus bidens,LC
Phylloderma stenops,LC
Saccopteryx leptura,LC
Cabassous unicinctus,LC
Vampyrum spectrum,NT
Thylamys pallidior,LC
Promops nasutus,LC
Peropteryx macrotis,LC
Saccopteryx canescens,LC
Oligoryzomys andinus,LC
Cyttarops alecto,LC
Ateles belzebuth,
Alouatta seniculus,LC
