Species1,Beak.Length_Culmen,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Range.Size
Accipiter albogularis,27.7,10.6,14.7,62.0,235.2,81.8,248.75,Forest,1,2.0,Carnivore,Vertivore,Insessorial,37461.21
Accipiter badius,20.6,8.8,11.6,43.0,186.7,62.5,131.15,Shrubland,2,3.0,Carnivore,Vertivore,Insessorial,22374973.0
Accipiter bicolor,25.0,8.6,12.7,58.1,229.6,56.6,287.54,Woodland,2,2.0,Carnivore,Vertivore,Generalist,14309701.27
Accipiter brachyurus,22.5,8.9,11.9,61.2,202.2,64.1,142.0,Forest,1,2.0,Carnivore,Vertivore,Insessorial,35580.71
Accipiter brevipes,21.1,8.7,11.1,46.4,217.6,87.8,186.48,Forest,1,3.0,Carnivore,Vertivore,Generalist,2936751.8
Accipiter butleri,20.0,6.6,12.0,48.7,166.0,42.9,122.0,Forest,1,1.0,Carnivore,Vertivore,Insessorial,327.84
Accipiter castanilius,20.5,8.3,10.9,52.6,163.5,38.9,157.51,Forest,1,2.0,Carnivore,Vertivore,Insessorial,2096401.63
Accipiter cirrocephalus,19.2,7.7,9.6,60.3,213.0,81.3,165.73,Forest,1,2.0,Carnivore,Vertivore,Generalist,5488639.45
Accipiter collaris,20.0,8.6,11.0,43.6,165.9,49.5,97.8,Forest,1,2.0,Carnivore,Vertivore,Insessorial,253265.36
Accipiter cooperii,25.4,8.6,13.2,62.0,241.2,77.8,429.67,Woodland,2,3.0,Carnivore,Vertivore,Aerial,8393137.06
Accipiter erythrauchen,21.1,8.6,11.2,59.5,191.2,58.9,156.0,Forest,1,1.0,Carnivore,Vertivore,Generalist,48150.32
Accipiter erythropus,17.6,7.2,9.6,43.0,154.6,40.9,111.2,Forest,1,1.0,Carnivore,Vertivore,Insessorial,3904812.09
Accipiter fasciatus,28.5,11.2,15.2,71.9,269.9,103.6,358.66,Forest,1,1.0,Carnivore,Vertivore,Generalist,8180196.71
Accipiter francesiae,20.2,8.7,10.7,48.1,155.8,43.2,136.82,Forest,1,1.0,Carnivore,Invertivore,Insessorial,519468.81
Accipiter gentilis,33.7,11.6,18.0,67.3,337.6,122.6,866.04,Forest,1,2.0,Carnivore,Vertivore,Generalist,31775270.74
Accipiter griseiceps,24.1,8.8,12.4,52.0,187.2,50.0,251.76,Forest,1,1.0,Carnivore,Vertivore,Insessorial,140604.94
Accipiter gularis,23.3,6.6,9.1,43.6,162.6,54.2,120.66,Forest,1,3.0,Carnivore,Vertivore,Insessorial,4785704.92
Accipiter gundlachi,26.0,8.3,16.3,71.3,228.0,61.8,675.0,Forest,1,1.0,Carnivore,Vertivore,Aerial,33511.43
Accipiter haplochrous,23.7,9.6,13.2,58.9,227.8,74.5,198.41,Forest,1,1.0,Carnivore,Vertivore,Insessorial,16389.59
Accipiter henicogrammus,27.9,10.0,13.6,65.1,230.2,72.0,358.7,Forest,1,1.0,Carnivore,Vertivore,Insessorial,22781.85
Accipiter henstii,32.6,11.8,17.2,75.0,290.5,78.0,1050.0,Forest,1,1.0,Carnivore,Vertivore,Insessorial,434639.7
Accipiter hiogaster,26.0,9.4,13.9,51.1,197.2,60.8,326.06,Forest,1,1.0,Carnivore,Vertivore,Insessorial,794517.61
Accipiter imitator,26.4,9.1,12.2,49.6,200.0,60.0,222.49,Forest,1,1.0,Carnivore,Vertivore,Insessorial,10050.21
Accipiter luteoschistaceus,26.4,7.8,11.9,51.5,188.0,57.0,214.0,Forest,1,1.0,Carnivore,Vertivore,Insessorial,28814.74
Accipiter madagascariensis,19.7,7.4,9.4,58.0,190.8,54.5,180.41,Forest,1,1.0,Carnivore,Vertivore,Insessorial,476517.51
Accipiter melanochlamys,25.9,11.0,13.9,62.7,228.6,75.0,265.0,Forest,1,1.0,Carnivore,Vertivore,Generalist,115449.94
Accipiter melanoleucus,29.6,10.3,16.3,75.8,302.8,107.2,698.99,Forest,1,1.0,Carnivore,Vertivore,Generalist,9067092.6
Accipiter meyerianus,35.0,12.6,18.6,75.4,309.5,102.0,763.54,Forest,1,1.0,Carnivore,Vertivore,Generalist,269144.41
Accipiter minullus,16.5,6.6,8.8,41.3,150.4,44.6,87.43,Forest,1,1.0,Carnivore,Vertivore,Generalist,6794381.58
Accipiter nanus,17.6,7.6,10.1,46.6,152.4,44.9,117.0,Forest,1,1.0,Carnivore,Invertivore,Insessorial,110477.0
Accipiter nisus,19.6,8.4,10.0,53.6,207.4,74.2,220.79,Forest,1,2.0,Carnivore,Vertivore,Insessorial,23601609.31
Accipiter novaehollandiae,31.6,11.5,16.5,69.0,261.9,76.0,326.06,Forest,1,1.0,Carnivore,Vertivore,Insessorial,1807067.3
Accipiter ovampensis,20.5,7.5,10.3,49.4,222.4,86.2,195.0,Shrubland,2,1.0,Carnivore,Vertivore,Aerial,7295779.86
Accipiter poliocephalus,25.0,10.1,13.7,60.3,210.5,67.8,214.76,Forest,1,1.0,Carnivore,Vertivore,Insessorial,671500.51
Accipiter poliogaster,27.7,8.0,13.2,52.4,240.4,72.6,315.0,Forest,1,2.0,Carnivore,Vertivore,Insessorial,7203530.62
Accipiter princeps,33.6,13.8,17.8,68.0,266.3,77.8,214.8,Forest,1,1.0,Carnivore,Vertivore,Insessorial,11549.62
Accipiter rhodogaster,20.5,7.9,10.8,53.4,172.6,51.6,172.71,Forest,1,1.0,Carnivore,Vertivore,Insessorial,146036.85
Accipiter rufitorques,26.0,10.3,13.7,59.2,217.6,73.5,209.0,Forest,1,1.0,Carnivore,Vertivore,Generalist,17581.12
Accipiter rufiventris,20.3,7.8,10.0,54.2,218.6,83.0,198.0,Forest,1,1.0,Carnivore,Vertivore,Aerial,756057.21
Accipiter soloensis,25.6,8.6,9.7,39.5,187.8,73.1,164.77,Forest,1,3.0,Carnivore,Vertivore,Insessorial,2375886.74
Accipiter striatus,18.3,7.3,9.4,49.9,181.6,56.6,130.59,Forest,1,3.0,Carnivore,Vertivore,Aerial,16375303.87
Accipiter superciliosus,19.4,6.7,10.4,37.4,146.4,38.6,96.38,Forest,1,1.0,Carnivore,Vertivore,Aerial,8560355.56
Accipiter sylvestris,26.0,9.2,13.1,54.5,206.4,66.0,326.06,Forest,1,1.0,Carnivore,Vertivore,Insessorial,34582.63
Accipiter tachiro,18.0,9.1,12.4,65.7,217.4,55.6,290.2,Forest,1,1.0,Carnivore,Vertivore,Aerial,5174215.21
Accipiter toussenelii,24.4,9.2,11.9,62.1,189.0,48.2,249.29,Forest,1,1.0,Carnivore,Vertivore,Insessorial,4598131.33
Accipiter trinotatus,20.4,8.6,11.2,48.2,162.9,43.0,146.0,Forest,1,1.0,Carnivore,Vertivore,Insessorial,120238.86
Accipiter trivirgatus,31.7,10.5,14.1,56.9,216.2,49.6,265.04,Forest,1,1.0,Carnivore,Vertivore,Insessorial,3366430.69
Accipiter virgatus,21.2,7.6,10.2,49.8,167.7,46.7,116.99,Forest,1,2.0,Carnivore,Vertivore,Generalist,4398429.71
Aegypius monachus,87.8,27.9,39.8,134.2,734.2,302.2,9320.55,Forest,2,1.0,Scavenger,Scavenger,Terrestrial,7718571.19
Aquila adalberti,61.2,21.1,31.0,98.4,592.5,235.0,2958.03,Woodland,1,2.0,Carnivore,Vertivore,Generalist,131221.76
Aquila africana,39.4,12.8,20.4,76.6,342.2,93.8,1047.0,Woodland,1,2.0,Carnivore,Vertivore,Generalist,1918245.9
Aquila audax,60.5,19.6,31.2,104.0,617.7,244.5,3449.86,Woodland,1,2.0,Carnivore,Vertivore,Generalist,7679648.03
Aquila chrysaetos,56.8,18.5,28.4,101.4,603.1,221.2,4247.97,Grassland,3,2.0,Carnivore,Vertivore,Aerial,39450257.98
Aquila fasciata,45.7,16.2,23.7,93.2,486.8,181.8,1936.49,Rock,3,2.0,Carnivore,Vertivore,Aerial,5630034.84
Aquila gurneyi,55.4,16.6,21.9,99.4,544.5,183.8,3059.99,Forest,1,1.0,Carnivore,Vertivore,Aerial,601810.35
