MSW05_Binomial,5-1_AdultBodyMass_g,9-1_GestationLen_d,14-1_InterbirthInterval_d,15-1_LitterSize,17-1_MaxLongevity_m,23-1_SexualMaturityAge_d,24-1_TeatNumber,25-1_WeaningAge_d,6-1_DietBreadth,6-2_TrophicLevel,1-1_ActivityCycle,26-1_GR_Area_km2,21-1_PopulationDensity_n/km2
Camelus dromedarius,492714.47,386.51,614.41,0.98,480.0,1947.94,-999,389.38,3.0,1,3.0,-999.0,0.98
Canis adustus,10392.49,65.0,-999.0,4.5,137.0,249.88,8,52.89,6.0,2,1.0,10581413.14,0.74
Canis aureus,9658.7,61.24,365.0,3.74,192.0,371.23,8,61.3,6.0,2,2.0,25739527.43,0.22
Canis latrans,11989.1,61.74,365.0,5.72,262.0,372.9,8,43.71,1.0,3,2.0,17099094.3,0.25
Canis lupus,31756.51,63.5,365.0,4.98,354.0,679.37,9,44.82,1.0,3,2.0,50803439.7,0.01
Bos frontalis,800143.05,273.75,403.02,1.22,314.4,610.97,-999,186.67,3.0,1,2.0,2294331.63,0.54
Bos grunniens,500000.0,273.75,-999.0,1.0,267.0,755.15,-999,243.33,2.0,1,-999.0,1523540.07,-999.0
Bos javanicus,635974.34,296.78,-999.0,1.22,318.96,797.31,-999,287.74,2.0,1,2.0,1687920.66,0.75
Callicebus cupreus,1117.02,129.25,395.41,1.01,-999.0,-999.0,-999,201.85,-999.0,-999,3.0,690923.14,4.89
Callicebus discolor,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Callicebus donacophilus,897.67,-999.0,-999.0,1.02,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,288759.02,-999.0
Callicebus dubius,992.4,-999.0,-999.0,1.02,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,-999.0,-999.0
Callicebus hoffmannsi,1067.61,-999.0,-999.0,1.02,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,98076.46,-999.0
Callicebus lucifer,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Callicebus lugens,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Callicebus medemi,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,36587.57,-999.0
Callicebus melanochir,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,60497.71,-999.0
Callicebus modestus,992.4,-999.0,-999.0,1.02,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,17288.42,-999.0
Caluromys derbianus,326.72,-999.0,-999.0,3.14,60.0,251.71,-999,-999.0,3.0,2,1.0,678553.48,11.86
Caluromys lanatus,350.33,-999.0,-999.0,-999.0,60.0,-999.0,-999,-999.0,4.0,2,1.0,3683731.12,-999.0
Caluromys philander,246.47,23.99,166.5,4.18,76.0,314.52,7,119.65,4.0,2,1.0,3212264.13,62.32
Caluromysiops irrupta,257.48,-999.0,-999.0,2.0,94.0,-999.0,-999,-999.0,3.0,2,1.0,188864.44,8.85
Calyptophractus retusus,129.99,-999.0,-999.0,-999.0,144.0,-999.0,-999,-999.0,4.0,2,-999.0,1081453.8,-999.0
Camelus bactrianus,554515.91,397.99,730.0,1.39,480.0,1330.6,-999,368.13,2.0,1,-999.0,188693.0,0.06
Bos sauveli,791321.76,-999.0,-999.0,-999.0,-999.0,755.15,-999,-999.0,2.0,1,2.0,115557.18,-999.0
Bos taurus,618642.42,280.48,-999.0,-999.0,240.0,755.15,-999,-999.0,-999.0,-999,-999.0,44447.62,-999.0
Boselaphus tragocamelus,182253.04,248.49,400.5,1.39,260.4,-999.0,-999,-999.0,5.0,1,-999.0,2192564.81,2.39
Brachiones przewalskii,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,940177.9,-999.0
Canis mesomelas,8247.3,62.5,273.75,3.89,168.0,241.4,8,34.1,6.0,2,2.0,6248779.95,0.74
Canis simensis,14361.86,63.61,365.0,-999.0,-999.0,754.74,8,69.6,1.0,3,3.0,11402.81,1.2
Cannomys badius,472.07,41.49,-999.0,2.0,48.0,-999.0,-999,50.1,-999.0,-999,-999.0,818286.0,-999.0
